RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.9999999,23,0,143,5400,0,0,0,0,0
0,50,1,0.285640821,17500,15,0,3,0,1
0.043956044,30,0,0.580283943,5000,10,1,3,0,2
0.019339951,54,0,0.171223246,6400,6,0,1,0,1
0.9999999,35,1,0.143971206,5000,2,0,0,0,2
0.9999999,65,0,3713,5400,3,0,1,0,0
0.061846723,40,0,0.235487241,6700,5,0,1,0,0
0.241357637,70,0,2507,5400,5,0,2,0,0
0.059329738,36,0,0.232137733,10454,4,0,2,0,0
0.34644226,78,1,0.563145618,3000,5,0,2,0,0
0.139518223,53,0,0.391838941,7400,6,0,2,0,1
0,83,0,24,5400,4,0,0,0,0
0.769220036,47,1,0.648274623,5563,13,0,2,1,2
0.095352372,30,0,0.281279222,5346,5,0,1,0,0
0.9999999,42,1,0.571473207,6400,4,0,2,0,2
0.289177069,54,0,0.170457386,4000,4,0,1,0,0
0.9999999,54,1,0.147386461,3500,1,0,0,0,1
0.906206184,40,1,0.502673797,4300,11,0,2,0,2
0.007408754,76,0,0.002332945,6000,3,0,1,0,0
0.036120485,58,0,0.00119994,6666,2,0,0,0,1
0.861624409,39,0,0.440437158,5489,13,0,0,0,1
0.062911476,51,0,0.357748899,9310,15,0,1,0,0
1.01035591,48,0,0.362106316,6000,9,0,2,0,2
0.714546823,48,0,0.040653728,4894,3,0,0,0,0
0.007066431,64,0,6,0,4,0,0,0,0
0.239309441,47,0,0.122030238,5555,5,0,0,0,2
0.018041981,76,0,67,5400,8,0,0,0,0
0.9999999,46,0,0.129308144,7833,3,0,1,0,3
1.56261343,38,1,0.291541291,2990,5,4,0,0,0
0.831803738,37,0,1.370272064,1506,7,0,0,0,0
0.00461437,58,1,0.420150462,10500,20,0,3,0,0
0.015214631,87,1,0.055324113,6000,21,1,0,0,1
0.016949522,61,0,0.2563757,9645,19,0,1,0,0
0.015232826,57,0,4608,5400,8,0,2,0,0
0.366571766,65,0,0.571763786,2556,11,0,1,0,0
0.017711682,78,0,0.010562052,2650,11,0,0,0,0
0.015717656,64,0,0.115733991,17833,4,0,1,0,0
0.001999909,68,0,0.182084777,3750,10,0,1,0,0
0.369159364,52,2,0.224364861,9800,10,0,0,0,2
0.137829505,48,1,0.043735225,3383,5,0,0,0,0
0.059788042,24,0,0.009744214,820,4,0,0,0,0
0.009548342,42,0,0.298290874,3100,10,0,1,0,0
0.089662397,54,1,1.074288471,2072,10,0,1,0,1
0.031660564,67,0,0.347076462,1333,8,0,0,0,0
0.380038034,44,0,0.346094685,5850,9,0,1,0,3
0.078189826,53,0,0.092305655,7550,7,0,0,0,2
0.11842873,51,0,2722,5400,18,0,2,0,2
0.9999999,52,1,0.119975005,4800,3,1,0,0,1
0.372167979,61,0,5085,5400,16,0,2,0,0
0.760956175,39,0,0.253258845,1610,3,0,0,1,0
0.133522538,42,0,1.556912826,1800,9,0,2,0,0
0.065991751,62,0,0.707535642,2454,6,0,2,0,0
0.141533018,53,0,0.168983102,10000,6,0,1,0,0
0.063195623,72,0,0.002298322,4350,2,0,0,0,0
0.935258093,59,0,0.462995228,13200,14,0,2,0,1
0.20524728,38,0,0.226177382,10000,7,0,2,0,1
0,64,0,0.421144714,4000,4,0,1,0,0
0,71,0,55,5400,4,0,1,0,1
0.930350301,57,0,0.611093196,3100,8,0,1,1,0
0.045340624,85,0,0.138057595,7083,7,0,1,0,0
0.014292809,35,0,0.409936084,3441,6,0,1,0,0
0.155774038,37,0,0.099210198,7216,12,2,0,0,1
0.486200135,75,0,0.765764565,7500,8,0,2,0,1
0.400590775,31,0,0.10684188,7000,10,0,0,0,2
0,34,0,0.283358321,2000,7,0,0,0,0
0.663526808,44,0,0.351641347,9412,13,0,1,0,3
0.039790009,38,0,64,5400,4,0,0,0,0
0.005871921,42,1,0.274589829,12250,15,0,3,0,3
0.972670225,35,0,0.445847805,3166,6,0,1,0,0
0.268260348,57,0,0.333445984,8876,12,0,1,0,0
0.082923351,52,0,2536,5400,6,0,1,0,1
0.202612053,43,0,0.334735071,5944,14,0,1,0,2
0.9999999,60,0,1429,5400,2,0,1,0,0
0.371409356,39,0,0.119235096,8000,5,0,0,0,0
0.694365282,41,0,0.916389812,5417,7,0,2,0,2
0.013293033,64,0,0.006516291,3989,5,0,0,0,0
0.159270636,48,0,0.200028233,7083,3,0,1,0,2
0.142857143,32,0,0.181927229,2500,7,0,0,0,2
0.219767919,42,0,0.371457748,7833,12,0,1,0,1
0.828028246,33,1,0.512581547,4291,8,0,0,0,2
0.948358987,50,0,1006,0,2,0,0,0,0
0.9999999,59,0,0.024430553,13916,1,0,1,0,2
0.102612144,63,0,0.447822514,6084,11,0,2,0,2
0.004899878,33,0,0.037804076,6083,9,0,0,0,0
0.506211342,75,0,0.245929329,14800,13,0,1,0,1
0.034032199,79,0,0.364127175,5000,7,0,1,0,0
0.950611844,44,0,0.32950759,2700,7,0,0,0,2
0.97440128,53,0,0.291284786,6000,4,0,1,0,2
0.9999999,85,0,0,1835,0,0,0,0,0
0.01347333,63,0,0.293514483,3900,9,0,1,0,0
0,71,0,0.086277497,10500,12,0,1,0,0
0.036352017,40,0,0.199118046,5895,7,0,1,0,0
0.164951459,69,0,0.491072137,12600,6,0,1,0,0
0.465521089,47,0,4085,5400,8,0,1,0,0
0.057326385,78,1,888,5400,13,0,1,0,0
0.381358483,51,1,1705,5400,6,0,1,0,2
0.07839776,63,0,0.441819773,8000,5,0,2,0,1
0.9999999,38,1,0,5400,2,2,0,1,1
0.018066064,51,0,0.317974562,8333,13,0,1,0,2
0.382747401,49,2,0.211841599,2600,4,0,0,0,2
0.204537405,46,0,0.161562361,4505,5,0,0,0,3
0.876188928,69,2,0.412974684,5687,9,0,1,0,0
0,53,0,0.390796977,7540,7,0,2,0,0
0.077326889,63,0,0.669909209,3083,4,0,1,0,0
1.02713898,33,0,0.580083983,3333,5,0,1,0,1
0.081379827,63,0,1268,5400,8,0,1,0,0
0.118072382,77,0,0.013497301,6667,9,0,0,0,1
0.064901671,36,0,0.0079984,5000,7,0,0,0,0
0.873250167,45,0,0.08362116,5500,2,0,0,0,0
0.070694386,63,0,136,5400,10,0,0,0,0
0.707996707,39,6,0.446707589,3583,7,0,0,0,2
0.9999999,70,1,520,5400,3,0,1,1,0
0.041646063,67,0,0.0059985,4000,13,0,0,0,0
0.028306289,67,0,0.008690777,7133,4,0,0,0,0
0.147016706,41,0,1843,5400,8,0,1,0,0
0.494250575,30,0,0.808886184,3285,4,0,1,0,0
0.852729365,68,1,0.261415398,9000,7,0,0,0,0
0.402661699,48,0,0.667077429,4868,8,0,2,0,0
0,42,0,2.094151213,700,5,0,2,0,2
0.072497615,63,0,0.450336883,4600,4,0,1,0,0
0.9999999,28,1,0.16644937,2300,1,0,0,0,0
0.800885588,27,0,1.653153153,221,8,0,0,0,2
0,61,0,0.081113511,4166,11,0,0,0,0
0.004681412,78,0,9,5400,10,0,0,0,0
0.265544578,46,0,0.473830243,7928,7,0,2,0,2
0.080116357,34,0,0.466048541,3666,5,0,1,0,0
0.109244538,77,0,0.016241879,4001,6,0,0,0,1
0.004813859,88,0,0.073352954,4416,13,0,0,0,1
0.056352979,77,1,0.332643916,2900,16,0,2,0,0
0.9999999,33,0,0.010854042,3500,0,0,0,0,0
0.547498906,59,0,0.382468128,12000,7,0,2,0,1
0.9999999,59,0,0,5400,0,0,0,0,0
0.600638309,59,0,3684,5400,19,0,1,0,0
0.281303377,23,1,0.165889407,1500,10,0,0,0,1
0.45387427,40,1,0.383038211,8583,14,0,1,0,0
0.9999999,44,0,0.908786299,2685,10,0,1,0,0
0.029027165,86,0,0.305072195,2700,7,0,1,0,1
0.645229198,46,0,0.412210271,6600,6,0,1,0,3
0.060780713,65,0,1.381348876,1200,5,0,1,0,0
0.121300445,53,1,0.265365724,7532,16,0,1,0,1
0.577422577,35,0,0.014995314,3200,5,0,0,0,0
0.823627288,32,0,0.08041958,857,4,0,0,0,0
0.028255737,44,0,0.268848035,5928,6,0,1,0,1
0.119141036,63,0,0.514280357,16000,15,0,2,0,2
0.389536821,85,1,239,5400,2,0,0,0,0
0,47,0,0.389569257,4735,6,0,1,0,2
0,71,0,0.211684045,7000,13,0,2,0,0
0.006958188,65,0,0.002511301,3981,5,0,0,0,0
0.458546792,61,0,0.475401968,8333,12,0,2,0,0
0.026513151,67,0,460,5400,9,0,0,0,0
0.110363931,63,0,0.042067577,4468,9,0,0,0,0
0.943353538,74,0,1014,5400,8,0,0,0,0
0.439756024,45,0,0.547937868,5600,2,0,1,0,2
0.47909516,49,1,0.406101782,7800,13,0,1,0,0
0.001103183,73,0,446,5400,8,0,0,0,0
0.9999999,28,0,25,5400,1,1,0,0,0
0.064616104,74,0,1712,5400,13,0,1,0,0
0.281406354,67,0,0.616139586,1833,11,0,0,0,0
0.923279482,42,1,0.313056888,5835,11,0,1,1,3
0.650060954,44,0,0.624254153,6200,10,1,1,0,2
0.654166288,43,1,0.54576219,6500,8,0,1,1,1
0.015084785,39,0,0.324879652,8516,14,3,1,0,1
0.284527518,47,0,3.163197336,1200,18,0,3,0,1
0.036490092,64,0,0.325173986,8333,12,0,1,0,1
0.185910938,62,0,0.264966879,8000,8,0,2,0,0
0.028762463,63,0,84,5400,12,0,0,0,0
0.9999999,58,0,0,5400,2,0,0,0,1
0.323481841,26,0,262,5400,3,0,0,0,0
0.00788222,69,0,382,5400,10,0,0,0,0
0,62,0,0,5400,6,0,0,0,0
0.015266158,71,0,0.014085264,18600,3,0,0,0,0
0.152361255,53,2,0.163075332,5800,8,0,1,1,1
0.970428295,50,0,0.632122626,3000,13,1,2,0,2
0.462307492,52,0,0.564959646,14000,14,0,3,0,1
0.335862705,47,0,0.652699663,3555,7,0,3,0,3
0.9999999,37,0,0,1200,0,0,0,0,1
0.03585384,47,0,718,5400,13,0,1,0,0
0.137565352,57,0,0.048412632,12000,12,0,0,0,0
0.011256824,78,0,0.213355733,2380,5,0,0,0,1
0.374745867,54,0,0.690637147,11833,21,0,2,0,0
0.125630288,29,0,0.395292066,5734,6,0,1,1,3
0,31,0,343,0,5,0,0,0,0
0.059012082,45,0,0.637355147,4400,5,0,2,0,0
0,40,0,0.382808596,2000,7,0,0,0,1
0,57,2,0.391716997,10430,11,0,3,0,0
0.093726568,40,0,0.101322075,9000,3,0,1,0,3
0.154456625,73,0,2.02502317,2157,13,0,3,0,1
0.651591615,35,0,0.301132578,1500,3,0,0,0,0
0.802030457,32,0,0.073971519,2527,6,0,0,0,0
0.687120922,62,0,0.496790434,7944,10,0,2,0,0
0.092655132,42,0,0.289285232,7400,6,0,1,0,2
0.9999999,34,0,0,0,0,0,0,0,0
0.629617033,46,5,0.408518296,5000,13,1,2,0,0
0,29,0,1.80399274,1101,5,0,1,0,0
0.9999999,41,0,0.01142606,4550,3,0,0,0,2
0.050485577,69,0,0.062542488,1470,11,0,0,0,0
0.036117321,51,0,0.094484253,6000,13,0,0,0,0
0.536025776,56,0,0.705882353,6000,6,0,2,0,3
0,63,0,1726,5400,8,0,2,0,0
0,43,0,0.71712689,6083,11,0,2,0,1
0.9999999,24,0,0.233900814,1350,2,2,0,0,0
0.005576717,46,0,0.404345318,5200,18,0,1,0,2
0.061996457,56,0,0.244447896,6438,6,0,2,0,2
0.9999999,38,0,0.858428314,5000,6,0,1,0,3
0.545989889,49,0,0.356664334,10000,13,0,2,0,3
0.0164781,68,0,10,0,6,0,0,0,0
0.550494627,40,0,0.191643782,5097,9,1,1,0,2
0.461077844,23,0,6,0,1,0,0,0,0
0.495017413,39,0,0.920087747,3190,10,0,1,0,2
0.852147852,31,0,0.312648326,11376,8,0,2,1,0
0.180890955,64,0,0.420791133,5232,7,0,1,0,0
0.625863532,28,0,0.136429608,6200,2,0,0,0,0
0.712785917,55,1,0.336966915,5228,11,0,0,0,1
0.033541009,62,0,0.365401396,4583,12,0,1,0,0
0.960051355,46,0,1.032938457,3460,18,0,0,1,0
0.316367015,50,0,0.522895421,5000,19,0,1,0,0
0.013564819,61,0,0.201299919,16000,8,0,1,0,0
0.786327894,62,0,2340,5400,4,0,2,0,0
0.003215631,66,0,0.001499813,8000,17,0,0,0,0
0.04111355,57,0,0.046993287,7000,3,0,0,0,0
0.490871101,45,0,0.18188419,5508,4,0,0,0,0
0.99260148,37,2,0.865783554,4000,8,0,2,0,0
0.055398153,49,0,1453,5400,6,0,1,0,0
0.176682332,53,0,0.012479397,4246,3,0,0,0,0
0.868128833,49,1,0.399930103,8583,7,0,2,1,2
0.10942183,53,0,0.026198934,2251,4,0,0,0,2
0.335116663,67,2,0.30598723,8300,12,0,1,0,0
0.02428398,44,0,0.093588951,4850,4,0,0,0,0
0,47,0,2427,5400,6,0,3,0,0
0.15689036,41,0,0.288871113,10000,4,0,1,0,0
0.069710889,55,0,0.210703144,12500,10,0,2,0,1
0.043259843,72,0,0.357918263,6263,9,0,2,0,0
0.171424431,40,0,0.219871205,3260,4,0,1,0,0
0.577474175,22,0,0.062365591,929,4,0,0,0,0
0.330378608,58,0,0.46918742,5500,19,0,2,0,1
0.070311621,73,0,0.012845166,13000,10,0,0,0,0
1.000533262,64,0,253,5400,1,0,0,0,1
0.050432068,61,0,0.267535222,6600,13,0,1,0,0
1.095175535,53,0,1.024675601,4700,5,2,3,0,0
0.723383279,57,0,0.573253558,6183,18,0,1,0,0
0.917200718,81,1,0.463043478,3219,13,0,1,0,0
0.110614756,51,0,1137,5400,8,0,1,0,0
0.9999999,69,0,0.152734129,1590,1,0,0,0,0
0.104417291,32,0,0.612318841,2483,18,0,1,0,3
0.025277193,56,1,0.494310763,5360,21,0,2,0,1
0.027130865,43,0,0.256738293,8050,6,0,1,0,1
0.421836439,59,0,0.246901546,7180,7,0,1,0,0
0.211740591,61,0,0.132897342,16666,11,0,1,0,0
0.042771993,85,0,0.014262821,6239,6,0,0,0,0
0.398705935,44,0,0.267455424,6000,8,0,1,0,1
0.96920308,42,1,0.254124705,9333,6,0,1,0,0
0.025537479,54,0,0.317709795,7125,4,0,1,0,2
0.07641689,75,0,2268,5400,4,0,1,0,0
0,59,0,0.270746495,15833,12,0,1,0,1
0.002285388,40,0,0.007665389,6000,9,0,0,0,3
0.24750051,40,0,0.812633073,5635,5,0,3,0,2
0.07722035,56,0,163,5400,6,0,0,0,0
0.046279079,39,0,1731,5400,7,0,1,0,0
0.77508269,33,1,0.553889222,5000,9,0,1,1,0
0.002977181,49,0,0.159735268,34600,14,0,3,0,3
0.011864072,40,0,0.212157173,7583,3,0,1,0,0
0.009824352,74,0,0.045154007,6200,11,0,1,0,3
0.181553751,36,0,0.266393443,4879,7,0,0,0,2
0.37321564,45,5,3274,5400,11,1,1,3,0
0.072713395,60,0,0.589223719,7200,20,0,1,0,1
0.743796756,50,0,0.278476794,12000,8,0,2,0,0
0.10549989,58,0,0.165484344,8175,5,0,1,0,1
0.229683785,64,0,0.509830057,3000,13,0,1,0,0
0.448060891,62,0,0.362763636,13749,16,0,2,0,1
0.9999999,39,0,5249,5400,9,0,2,0,0
0.075510353,54,0,0.405439378,8750,12,0,2,0,2
0.01165319,85,0,0.300453212,3750,17,0,1,0,0
0.351611179,63,0,0.288393739,7090,21,0,0,0,1
0.109654483,40,1,0.470468432,5400,10,0,2,0,3
0.030105562,61,0,1889,5400,9,0,1,0,0
0.631124443,42,1,1.692653673,1333,9,0,2,0,0
1.043876701,71,0,0.413600892,7175,8,0,1,0,0
0.005878432,57,0,2,5400,4,0,0,0,0
0.004888708,73,0,458,5400,5,0,1,0,0
0.188407008,53,0,0.160139977,6000,8,1,1,0,0
0,55,0,0.261714682,2880,5,0,1,0,0
0.055264363,57,0,0.285055114,3900,8,0,0,0,0
0.529391147,40,0,0.450550333,12446,13,0,2,0,3
0.008746506,46,0,0.16625821,10200,10,0,2,0,2
0.073567646,64,0,0.341530864,10124,11,0,3,0,1
0.263957508,61,0,0.364147408,1600,17,0,0,0,0
0,35,0,0.080047087,6795,6,0,0,0,0
0.009345794,75,0,0.001216545,821,2,0,0,0,0
0.25445433,49,0,0.283489097,9950,17,0,2,0,2
1.022792023,38,1,0.028610824,2900,2,0,0,0,0
0.030826501,52,0,0.358541526,1480,7,0,1,0,0
0.355459264,57,0,1167,5400,4,0,1,0,1
0.772933697,34,0,0.216909046,4056,4,2,0,3,3
0.531367158,44,0,0.223253275,3663,3,0,1,2,3
0.018679626,79,0,0.005510726,5080,5,0,0,0,0
0.666577781,84,1,0.999493927,1975,11,0,1,0,0
0.907305648,39,0,0.422376994,4450,6,0,0,0,2
0.453171264,28,0,0.541819394,3000,8,0,2,0,3
0.004333153,39,0,0.056561448,6240,4,0,0,0,0
0.488704084,55,0,0.27942064,4970,12,0,0,0,0
0.333247323,62,0,0.282036105,3378,5,0,1,0,0
0.051224944,84,0,0.151432469,4397,6,0,0,0,0
0,50,0,1250,5400,3,0,1,0,0
0.161318548,48,0,0.163906887,4166,10,0,0,0,0
0.070707071,33,0,0.455636091,4000,8,0,1,0,0
0.196894561,40,1,72,5400,2,0,0,0,0
0.9999999,48,0,1821,5400,4,0,1,0,0
0.387755102,54,0,2622,5400,13,0,2,0,2
0.062375005,37,0,0.045661593,9000,4,0,0,0,1
0.054961727,56,0,2392,5400,9,0,2,0,0
0.835552491,49,2,0.326756432,7500,13,0,2,0,1
1.009726389,56,2,0.490467938,7500,9,0,1,0,0
0,65,0,0.026147015,2026,1,0,0,0,0
0.064295898,68,0,0.010189506,10500,13,0,0,0,0
0.836683163,39,0,0.40858118,2050,3,0,0,0,3
0.001999889,45,0,1,5400,2,0,0,0,1
0.011177455,53,0,0.00733089,3000,6,0,0,0,2
0.548050574,57,1,1.838942308,1663,11,0,2,0,0
0.9999999,34,1,0.267933017,4000,1,5,0,0,0
0.9999999,24,1,0.013539652,1550,0,3,0,0,1
0.197997509,51,0,0.333293656,8400,10,0,1,0,1
0.133249616,30,0,0.033986405,2500,5,0,0,0,0
0.166708811,59,0,217,5400,8,0,0,0,0
0.004512962,63,0,0.188233589,6900,14,0,1,0,0
0.273529828,72,1,0.627936166,5576,16,0,3,0,0
0.043423666,68,0,0.190882431,3750,5,0,1,0,0
0.312569849,46,0,0.162449235,3200,11,0,0,0,1
0.01356339,73,0,0.001759859,12500,6,0,0,0,1
0.171471421,26,0,0.208496965,2800,5,0,0,0,0
0.353613253,56,0,0.51867394,2382,3,0,1,0,0
0.328326371,68,0,0.409716758,5083,8,0,1,0,0
0.50896598,46,0,0.398671096,3611,6,0,1,0,2
0.003254342,51,0,0.350217077,4145,5,0,1,0,0
0.17296921,53,0,0.403285323,8400,12,1,2,0,1
0.105675773,53,0,0.194513716,400,5,0,0,0,0
0.009848727,48,0,0.386927615,10678,19,0,2,0,2
0.044434771,33,0,0.016780517,6733,5,0,0,0,0
0.062719412,60,0,0.212551186,10500,14,0,1,0,0
0.032657814,73,0,0.011999442,7166,13,0,0,0,0
0.657785231,55,2,0.530689568,3958,11,0,2,0,0
0.006314802,58,0,0.19632794,5500,16,0,0,0,2
0,38,0,0,4000,4,0,0,0,0
0.19799175,31,1,0.133554695,5420,9,0,0,0,2
0.871016692,88,2,1.526031624,2592,10,3,0,1,0
0.11850471,62,0,1476.5,1,10,0,1,0,0
0.374646987,42,0,0.286174785,5583,11,0,1,0,1
0.109995926,56,0,0.257872953,5556,6,0,1,0,0
0.068867515,44,0,4202,5400,16,0,3,0,0
0.676345706,59,1,1659,5400,5,0,0,0,1
0.144950602,69,0,144,5400,7,0,0,0,0
0.057470025,46,0,0.319743422,9197,11,0,2,0,2
0.234565506,52,0,0.322765851,4005,7,0,0,0,3
0.002661183,34,0,0.224368499,4710,6,0,1,0,1
0.400574928,32,0,0.305551112,6250,3,0,1,0,3
0.414265987,56,1,0.488491675,4083,11,0,2,0,0
0.012498958,89,0,0.191107311,4677,4,0,1,0,0
0.071292171,66,0,0.478058704,3440,14,0,1,0,1
0.170986658,54,0,0.252921319,11552,11,0,2,0,0
0.9999999,63,0,0,5400,2,0,0,0,0
0.047264134,64,0,0.203477913,5002,11,0,2,0,0
0.023586848,37,0,0.361957429,9583,8,0,3,0,2
0.002169974,44,0,0.000344768,5800,9,0,0,0,1
0.9999999,72,0,0.007490637,800,1,0,0,0,0
0.410820424,48,0,0.552586041,5200,11,0,2,0,0
0.095260316,57,0,0.315598706,7724,4,0,2,0,2
0.656673296,49,1,3406,5400,15,0,1,0,0
0.625593602,73,0,492,5400,4,0,0,0,0
0.053258815,44,0,1.565390353,2010,5,0,1,0,2
0.980089466,35,0,0.447496677,6770,13,0,2,0,1
0.9999999,24,0,0.174118885,1900,1,0,0,0,2
0.264210583,41,0,0.502265372,6179,12,0,2,0,0
0.014450728,61,0,3106,5400,12,0,3,0,0
0.436756569,55,4,0.386175427,5916,11,0,1,0,1
0.29788628,85,1,0.560523446,1833,14,0,1,0,0
0.132520862,65,0,0.170843521,3271,11,0,0,0,0
0.9999999,35,0,0,5894,0,0,0,0,3
0.24789108,59,2,0.401206848,7125,10,0,1,0,0
0,64,0,1934,5400,9,0,1,0,0
0.022559549,76,0,0.390699696,2300,7,0,1,0,0
0.727198531,81,5,0.273761714,5975,7,0,1,1,0
0.9999999,35,0,1724,5400,4,0,0,0,0
0.29971902,66,0,0.193913043,11499,12,0,1,0,1
0.046698443,71,0,0.034270217,8111,5,0,0,0,0
0.031663156,55,0,0.375040275,9310,10,0,2,0,3
0,43,0,0.059518141,10500,13,0,0,0,0
0.056250418,30,0,0.523825392,3000,7,0,2,0,0
0.001349933,67,0,0.242217678,4400,3,0,1,0,1
0.652694611,21,0,0.178019982,1100,7,0,0,0,0
0.666950234,42,0,0.170396419,9383,8,0,0,0,3
0.098297073,31,0,0.225777422,10000,12,0,1,0,3
0.048603115,64,0,0.363547995,8229,5,0,1,0,0
0.045546948,55,0,1472,5400,11,0,1,0,0
0.263007965,56,0,0.333232124,6586,13,0,1,0,0
0.078118859,51,0,0.024534303,2200,14,0,0,0,1
0.872023268,38,0,0.611540209,2200,5,0,1,0,0
0.783098919,50,0,0.439373526,5937,10,2,1,0,1
0.107563296,47,1,581,5400,4,0,0,1,0
0.388878137,50,0,0.021598272,8333,6,0,0,0,0
0.02339883,59,0,0.043211867,3100,12,0,1,0,0
0.006964634,69,1,0.38583127,5250,10,1,2,0,1
0.052673194,79,0,0.012727273,5499,9,0,0,0,1
0.9999999,38,0,0.379174299,7096,2,0,1,0,1
0.004770496,39,0,0.716189644,4576,10,0,2,0,2
0,61,0,0,1250,3,0,0,0,0
0.066049155,57,0,0.397417793,4956,6,0,1,0,0
0.607103647,48,0,0.760143198,1675,6,0,1,0,1
0,76,0,0.165976289,7000,6,0,1,0,0
0.485893417,28,2,0.203118752,2500,5,0,0,1,2
0.616812651,59,0,0.475985382,7661,11,0,2,0,1
0.131065274,30,0,0.394196014,9682,7,0,2,0,0
0.002039189,54,0,0.237556312,9100,8,0,1,0,2
0.113551937,64,0,0.170857316,3300,8,0,0,0,0
0.583396353,65,0,0.071930946,3127,9,0,0,0,0
0.060546722,48,0,1184,1,15,0,2,0,1
0.008988024,80,0,2302,5400,3,0,1,0,0
0.104923427,50,0,3085,5400,7,0,2,0,0
0.2177311,50,0,0.171221788,10500,5,0,1,0,1
0.134032995,38,0,2693,5400,17,0,2,0,0
0.014599027,70,0,0.217391304,2598,2,0,0,0,0
0.044697188,50,0,0.26651315,8250,20,0,3,0,1
0.199987501,42,0,0.974554707,2750,7,0,1,0,1
0.9999999,29,0,0.145236509,1500,5,0,0,0,1
0.354437551,57,0,0.263315779,15000,11,0,2,0,1
0.752573277,34,0,0.249890399,2280,5,0,0,0,0
0.736888723,50,0,0.571317225,8980,10,0,2,1,2
0.94763566,44,0,1.619861432,2164,8,0,1,0,1
0.004514673,84,0,39,5400,12,0,0,0,0
0,61,0,0.399928584,5600,5,0,3,0,0
0.23418941,69,0,0.416653648,6400,10,0,2,0,2
0.85952788,72,0,1.712619742,2400,16,0,1,0,0
0.032972317,65,0,0.009086216,9684,9,0,0,0,0
0.029395002,64,0,0.008498584,6000,11,0,0,0,1
0.071236685,50,0,0.331852263,3600,10,0,1,0,0
0.00970585,52,0,0.285951022,5430,9,0,1,0,0
0.066533358,50,0,21,5400,4,0,0,0,0
0.23190007,65,0,1890,5400,12,0,2,0,1
0.242543455,69,0,2393,5400,8,0,1,0,0
0.065391684,66,0,0.416666667,4739,20,0,1,0,0
0.526031598,59,0,0.229108357,2500,5,0,0,0,1
0.9999999,47,0,3175,5400,10,0,1,0,0
0.004731037,76,0,0.173178316,7396,11,0,1,0,1
0.035977989,60,0,490,0,14,0,0,0,1
0.9999999,57,0,0,5400,0,0,0,0,0
1.093915853,44,1,0.882592928,6617,10,0,3,0,2
0.794554235,52,0,0.332681468,8692,8,0,1,0,0
0,62,0,2745,5400,9,0,2,0,0
0.9999999,37,0,0,3840,0,0,0,0,0
0.644204852,61,1,0.06779278,17700,7,0,0,0,1
0.139435375,70,0,0.877402819,2340,6,0,1,0,0
0.274286446,42,0,0.267497728,7700,14,0,1,0,0
0.941014746,32,0,0.879482657,1700,3,0,1,0,0
1.012496876,30,5,0.198286122,4200,5,0,0,1,2
0.9999999,47,1,0.283988335,7200,10,0,2,0,3
0.712952079,58,1,0.472414646,8083,14,0,1,0,2
0.529572451,43,0,0.056702489,7071,13,0,0,0,0
0.015237266,45,1,0.65874308,6141,5,0,1,0,2
0.002944184,66,0,0.466407551,1800,16,0,1,0,0
0.046025213,78,0,105,5400,4,0,0,0,0
0.376145971,57,0,0.447282051,9749,14,0,2,0,2
0.026613334,66,0,0.135051401,7100,8,0,1,0,1
0.216212067,42,0,0.663120567,2255,7,0,1,0,0
0.069451642,42,0,0.422579859,4100,17,0,1,0,0
0.9999999,58,0,0.337730871,1894,4,0,0,0,0
0.73514714,56,0,0.023665089,15000,3,0,0,0,0
0.406381023,44,0,0.426397735,5651,11,0,1,0,0
0.001917993,76,0,1,5400,3,0,0,0,0
0.01365562,57,0,0.146612835,21300,8,0,2,0,3
0.9999999,23,0,0,5400,0,0,0,0,0
0.24009617,35,0,3.622754491,500,9,0,1,0,3
0.9999999,34,1,1330,5400,2,3,0,1,0
0.543794827,47,1,1460,5400,3,3,1,1,0
0.024173493,61,0,0.085673146,8333,4,0,1,0,0
0.081664398,48,0,1317,0,5,0,0,0,0
0.013650987,86,0,4,5400,2,0,0,0,0
0,76,0,847,5400,7,0,0,0,1
0.096384334,53,0,0.352680549,2256,11,0,0,0,1
0.043723144,62,0,3229,5400,14,0,2,0,0
0.562453129,41,0,0.378017005,14583,6,0,1,0,1
0.89834906,54,0,0.483037355,8164,12,0,2,0,0
0.566455392,51,0,0.979345199,4550,14,0,2,0,3
0.165003434,44,0,0.464133967,4000,19,0,2,0,0
0.222793591,51,0,0.708822794,4000,19,0,1,0,2
0.488016253,53,0,0.340373012,14583,9,0,3,0,0
0.643356643,38,0,1368,5400,4,0,1,0,0
0.900455505,26,0,0.928136419,820,3,0,0,0,0
0.443555644,40,0,2677,5400,8,0,1,0,0
0.09119696,56,0,0.281133379,7234,7,0,2,0,3
0.9999999,48,0,543,5400,4,0,0,2,0
0.098258379,54,1,0.072567973,21000,8,0,0,0,1
0.073496659,39,0,0.495889802,4500,12,0,2,0,2
0.022194581,52,0,1.322384428,1643,10,0,1,0,0
0.9999999,28,0,0.024146545,1200,1,0,0,0,0
0.015345635,43,0,0.031514998,7900,21,0,0,0,3
0.077646118,59,0,755,5400,6,0,1,0,0
0.008629149,73,0,0.00376382,4250,10,0,0,0,0
